day,time_h,product_class,location,equipment,input,store_key,level,capacity,fill_pct
176,4200,SG,Bulwer Island,SG_STORE,SG,SG|Bulwer Island|SG_STORE|SG,60.0,10000.0,0.006
176,4200,SG,Chullora,SG_STORE,SG,SG|Chullora|SG_STORE|SG,0.0,99999.0,0.0
176,4200,SG,Clyde,SG_STORE,SG,SG|Clyde|SG_STORE|SG,0.0,3000.0,0.0
176,4200,SG,Melbourne,SG_STORE,SG,SG|Melbourne|SG_STORE|SG,0.0,25000.0,0.0
176,4200,SG,Newcastle,SG_STORE,SG,SG|Newcastle|SG_STORE|SG,0.0,3000.0,0.0
176,4200,SG,Port Kembla,SG_STORE,SG,SG|Port Kembla|SG_STORE|SG,2335.6499792283767,20000.0,0.11678249896141883
176,4200,SG,Tennyson,SG_STORE,SG,SG|Tennyson|SG_STORE|SG,25816.246862695007,99999.0,0.25816505027745285
177,4224,CL,Bulwer Island,CL_STORE_I,CL,CL|Bulwer Island|CL_STORE_I|CL,13265.127271669937,30000.0,0.4421709090556646
177,4224,CL,Bulwer Island,CL_STORE,CL,CL|Bulwer Island|CL_STORE|CL,45307.49188104941,50000.0,0.9061498376209882
177,4224,CL,Gladstone,CL_STORE,CL,CL|Gladstone|CL_STORE|CL,119996.1737431906,120000.0,0.9999681145265883
177,4224,CL,Import,CL_STORE,CL,CL|Import|CL_STORE|CL,24999.0,999999.0,0.024999024999025
177,4224,CL,Port Kembla,CL_STORE_I,CL,CL|Port Kembla|CL_STORE_I|CL,85790.42315889054,86000.0,0.9975630599870993
177,4224,CL,Railton,CL_STORE,CL,CL|Railton|CL_STORE|CL,25386.189660318825,115000.0,0.22074947530712022
177,4224,FA,Gladstone,FA_EXPSILO_STORE,FA,FA|Gladstone|FA_EXPSILO_STORE|FA,13912.414466192991,14000.0,0.9937438904423566
177,4224,FA,Melbourne,FA_STORE,FA,FA|Melbourne|FA_STORE|FA,0.0,15000.0,0.0
177,4224,FA,Osborn,FA_STORE,FA,FA|Osborn|FA_STORE|FA,0.0,7500.0,0.0
177,4224,FA,Port Kembla,FA_STORE,FA,FA|Port Kembla|FA_STORE|FA,0.0,15000.0,0.0
177,4224,GBFS,Bulwer Island,GBFS_STORE,GBFS,GBFS|Bulwer Island|GBFS_STORE|GBFS,49606.540508790546,50000.0,0.992130810175811
177,4224,GBFS,Import,GBFS_STORE,GBFS,GBFS|Import|GBFS_STORE|GBFS,999999.0,999999.0,1.0
177,4224,GBFS,Port Kembla,GBFS_STORE,GBFS,GBFS|Port Kembla|GBFS_STORE|GBFS,24345.67151675299,50000.0,0.4869134303350598
177,4224,GP,Albury,GP_STORE,GP,GP|Albury|GP_STORE|GP,21207.919343358775,99999.0,0.2120813142467302
177,4224,GP,Bulwer Island,GP_STORE,GP,GP|Bulwer Island|GP_STORE|GP,15.546588827838832,30000.0,0.0005182196275946277
177,4224,GP,Clyde,GP_STORE,GP,GP|Clyde|GP_STORE|GP,0.0,3000.0,0.0
177,4224,GP,Devonport,GP_STORE,GP,GP|Devonport|GP_STORE|GP,24996.380235377528,25000.0,0.9998552094151011
177,4224,GP,Gladstone,GP_STORE,GP,GP|Gladstone|GP_STORE|GP,19789.564868187892,30000.0,0.6596521622729298
177,4224,GP,Mackay,GP_STORE,GP,GP|Mackay|GP_STORE|GP,16121.705407887219,99999.0,0.16121866626553485
177,4224,GP,Melbourne,GP_STORE,GP,GP|Melbourne|GP_STORE|GP,0.0,35000.0,0.0
177,4224,GP,Newcastle,GP_STORE,GP,GP|Newcastle|GP_STORE|GP,0.0,25000.0,0.0
177,4224,GP,Osborn,GP_STORE,GP,GP|Osborn|GP_STORE|GP,0.0,14500.0,0.0
177,4224,GP,Port Kembla,GP_STORE,GP,GP|Port Kembla|GP_STORE|GP,29801.634440318918,30000.0,0.9933878146772973
177,4224,GP,Railton,GP_STORE_Q,GP,GP|Railton|GP_STORE_Q|GP,1442.026841422332,1500.0,0.961351227614888
177,4224,GP,Railton,GP_STORE_ST,GP,GP|Railton|GP_STORE_ST|GP,3559.9680094557816,3600.0,0.988880002626606
177,4224,GP,Townsville,GP_STORE,GP,GP|Townsville|GP_STORE|GP,0.0,30000.0,0.0
177,4224,GP,Wagga,GP_STORE,GP,GP|Wagga|GP_STORE|GP,25601.693522685753,99999.0,0.25601949542181174
177,4224,SG,Bulwer Island,SG_STORE,SG,SG|Bulwer Island|SG_STORE|SG,60.0,10000.0,0.006
177,4224,SG,Chullora,SG_STORE,SG,SG|Chullora|SG_STORE|SG,0.0,99999.0,0.0
177,4224,SG,Clyde,SG_STORE,SG,SG|Clyde|SG_STORE|SG,0.0,3000.0,0.0
177,4224,SG,Melbourne,SG_STORE,SG,SG|Melbourne|SG_STORE|SG,0.0,25000.0,0.0
177,4224,SG,Newcastle,SG_STORE,SG,SG|Newcastle|SG_STORE|SG,0.0,3000.0,0.0
177,4224,SG,Port Kembla,SG_STORE,SG,SG|Port Kembla|SG_STORE|SG,2335.6499792283767,20000.0,0.11678249896141883
177,4224,SG,Tennyson,SG_STORE,SG,SG|Tennyson|SG_STORE|SG,25919.246862695007,99999.0,0.25919506057755587
178,4248,CL,Bulwer Island,CL_STORE_I,CL,CL|Bulwer Island|CL_STORE_I|CL,13265.127271669937,30000.0,0.4421709090556646
178,4248,CL,Bulwer Island,CL_STORE,CL,CL|Bulwer Island|CL_STORE|CL,45307.49188104941,50000.0,0.9061498376209882
